timestamp,open,high,low,close,volume
2026-01-17 13:15:00,143.8,144.05,143.75,143.94,3211.842
2026-01-17 13:20:00,143.94,143.96,143.74,143.78,1460.11
2026-01-17 13:25:00,143.77,143.83,143.63,143.7,2527.773
2026-01-17 13:30:00,143.7,143.86,143.66,143.72,3546.806
2026-01-17 13:35:00,143.71,143.81,143.61,143.81,2079.288
2026-01-17 13:40:00,143.8,143.92,143.73,143.85,4273.909
2026-01-17 13:45:00,143.85,143.97,143.78,143.96,1256.868
2026-01-17 13:50:00,143.96,144.01,143.83,143.94,1643.021
2026-01-17 13:55:00,143.94,144.04,143.91,143.99,2452.574
2026-01-17 14:00:00,144.0,144.0,143.74,143.9,1692.659
2026-01-17 14:05:00,143.91,143.95,143.84,143.89,1677.589
2026-01-17 14:10:00,143.88,144.06,143.87,143.99,15828.105
2026-01-17 14:15:00,143.99,144.03,143.88,143.94,6917.489
2026-01-17 14:20:00,143.93,143.99,143.88,143.91,2441.548
2026-01-17 14:25:00,143.92,144.0,143.88,143.99,1061.778
2026-01-17 14:30:00,143.99,144.2,143.93,144.11,2210.112
2026-01-17 14:35:00,144.11,144.26,144.08,144.22,4069.971
2026-01-17 14:40:00,144.22,144.25,144.04,144.05,5534.71
2026-01-17 14:45:00,144.05,144.14,144.01,144.07,3520.775
2026-01-17 14:50:00,144.08,144.11,143.93,143.98,3335.346
2026-01-17 14:55:00,143.98,144.01,143.85,143.92,5242.642
2026-01-17 15:00:00,143.91,143.92,143.79,143.8,3077.298
2026-01-17 15:05:00,143.8,144.02,143.79,143.92,4510.799
2026-01-17 15:10:00,143.92,143.93,143.74,143.87,1865.921
2026-01-17 15:15:00,143.88,144.0,143.81,144.0,2548.955
2026-01-17 15:20:00,144.0,144.01,143.7,143.74,2632.898
2026-01-17 15:25:00,143.75,143.94,143.7,143.86,2300.148
2026-01-17 15:30:00,143.85,143.91,143.77,143.84,1347.524
2026-01-17 15:35:00,143.84,144.02,143.81,143.99,3114.152
2026-01-17 15:40:00,143.99,144.06,143.9,144.06,3150.389
2026-01-17 15:45:00,144.05,144.08,143.9,143.95,1727.562
2026-01-17 15:50:00,143.95,144.21,143.84,144.13,8880.427
2026-01-17 15:55:00,144.13,144.35,144.08,144.33,7150.955
2026-01-17 16:00:00,144.33,144.33,144.04,144.28,6221.542
2026-01-17 16:05:00,144.29,144.33,144.14,144.24,2905.048
2026-01-17 16:10:00,144.25,144.26,144.22,144.24,1094.675
2026-01-17 16:15:00,144.23,144.23,144.03,144.08,2027.203
2026-01-17 16:20:00,144.08,144.08,143.64,143.76,9351.287
2026-01-17 16:25:00,143.77,144.06,143.75,144.05,15255.863
2026-01-17 16:30:00,144.05,144.07,143.79,143.8,2644.999
2026-01-17 16:35:00,143.8,143.89,143.72,143.88,3740.628
2026-01-17 16:40:00,143.88,143.99,143.87,143.98,5600.442
2026-01-17 16:45:00,143.99,144.0,143.76,143.77,6040.07
2026-01-17 16:50:00,143.77,143.88,143.7,143.85,9961.052
2026-01-17 16:55:00,143.85,143.94,143.82,143.89,3005.144
2026-01-17 17:00:00,143.89,143.89,143.83,143.84,3230.521
2026-01-17 17:05:00,143.85,144.0,143.84,143.96,2168.851
2026-01-17 17:10:00,143.97,144.09,143.96,144.01,3003.047
2026-01-17 17:15:00,144.01,144.07,143.94,144.07,2891.647
2026-01-17 17:20:00,144.06,144.06,143.93,144.0,1526.828
2026-01-17 17:25:00,144.0,144.19,144.0,144.18,1541.133
2026-01-17 17:30:00,144.18,144.18,144.02,144.1,1535.787
2026-01-17 17:35:00,144.1,144.25,144.1,144.23,2834.614
2026-01-17 17:40:00,144.23,144.25,144.1,144.2,841.667
2026-01-17 17:45:00,144.2,144.2,144.06,144.07,1432.114
2026-01-17 17:50:00,144.07,144.11,143.88,143.97,3436.684
2026-01-17 17:55:00,143.97,144.07,143.88,144.07,1561.062
2026-01-17 18:00:00,144.07,144.16,143.98,144.15,2604.068
2026-01-17 18:05:00,144.14,144.22,144.08,144.21,1578.562
2026-01-17 18:10:00,144.21,144.26,144.09,144.09,1278.817
2026-01-17 18:15:00,144.09,144.23,144.09,144.13,1005.314
2026-01-17 18:20:00,144.14,144.27,144.13,144.21,1057.709
2026-01-17 18:25:00,144.21,144.22,144.19,144.21,671.978
2026-01-17 18:30:00,144.21,144.28,144.2,144.21,898.718
2026-01-17 18:35:00,144.2,144.26,144.16,144.23,834.682
2026-01-17 18:40:00,144.23,144.23,144.16,144.22,1113.221
2026-01-17 18:45:00,144.21,144.22,144.16,144.2,2215.075
2026-01-17 18:50:00,144.2,144.25,144.19,144.24,1518.945
2026-01-17 18:55:00,144.24,144.29,144.22,144.28,2110.809
2026-01-17 19:00:00,144.28,144.28,144.18,144.28,926.831
2026-01-17 19:05:00,144.27,144.31,144.23,144.27,857.372
2026-01-17 19:10:00,144.26,144.27,144.23,144.23,528.583
2026-01-17 19:15:00,144.23,144.23,144.12,144.18,1204.596
